text,pred,label,positive,neutral,negative,doc_num
"The text describes Mrs. Smith, a 79-year-old woman with Parkinson's disease and chronic heart failure, who requires a comprehensive domiciliary care package.",0,positive,0.40846974,0.23159474,0.35993555,0
"Due to her condition, she experiences significant tremors and muscle rigidity, impacting her",2,negative,0.30936405,0.095689364,0.5949466,0
The text describes Mrs. Smith's care in a care home due to her advanced dementia and multiple chronic health conditions.,2,negative,0.34566504,0.2170318,0.43730316,1
The care home provides a secure and supportive environment with specialized dementia care units and trained staff.,0,positive,0.83343947,0.12506025,0.041500315,1
Mrs. Smith's dementia has progressed,2,negative,0.26174876,0.15661715,0.5816341,1
"The text describes Mrs. Smith's, a 90-year-old resident of a care home, overall health and well-being.",0,positive,0.7681897,0.11713932,0.11467092,2
"Despite her multiple health challenges, including osteoporosis, COPD, Alzheimer's disease, and cognitive impairment,",2,negative,0.35497504,0.22491696,0.420108,2
"The text describes the care provided to Mrs. Smith, an 85-year-old resident with advanced Alzheimer's disease, hypertension, and diabetes, in a residential care home.",0,positive,0.6375859,0.1698357,0.19257843,3
The care home offers a secure environment with specialized dementia care units,0,positive,0.72995675,0.18557853,0.08446471,3
"The text describes Mrs. Smith's, an 87-year-old resident in a nursing home, complex medical history and her care management.",0,positive,0.51888937,0.22157528,0.25953534,4
"Mrs. Smith has severe rheumatoid arthritis, osteoporosis, and early-stage Alzheimer's disease.",2,negative,0.20834887,0.12339362,0.66825753,4
"The text describes Mrs. Smith's, an 82-year-old resident in a long-term care facility, comprehensive care plan.",0,positive,0.56576747,0.24648209,0.18775043,5
"Mrs. Smith has several health challenges, including COPD, osteoporosis, and early-stage Alzheimer's",2,negative,0.339994,0.13242054,0.52758545,5
The text describes Mrs. Smith's comprehensive care at a nursing home.,0,positive,0.46305645,0.26385623,0.2730873,6
"She has a complex medical history including rheumatoid arthritis, osteoporosis, and early-stage Alzheimer's disease.",0,positive,0.44228107,0.14953355,0.4081854,6
"The care team provides daily assistance with personal hygiene, dressing, and feeding",0,positive,0.72161067,0.18675499,0.091634296,6
"The text describes Mrs. Smith's, a 91-year-old resident of a long-term care facility, comprehensive care plan.",0,positive,0.5711923,0.23890491,0.18990275,7
"Mrs. Smith has several health challenges, including COPD, osteoporosis, and Alzheimer's disease.",2,negative,0.3407851,0.13703462,0.52218026,7
The,0,positive,0.5080674,0.2245126,0.26742,7
"The text describes the care of Mrs. Smith, an 84-year-old resident living in a care home due to advanced dementia and chronic heart failure.",2,negative,0.23593697,0.22206375,0.5419993,8
"The text highlights her cognitive decline, her need for assistance with daily activities, and her",2,negative,0.21472093,0.13866216,0.6466169,8
"The text describes the care of Mrs. Smith, a 79-year-old resident in a nursing home due to advanced dementia and chronic heart failure.",2,negative,0.18843205,0.199375,0.612193,9
"The text highlights her cognitive decline, physical limitations, and the various interventions implemented to ensure her",2,negative,0.39620206,0.14202301,0.46177498,9
"The text describes Mrs. Smith's, a 76-year-old resident in a residential care facility, health conditions and care management.",0,positive,0.50715494,0.23912738,0.2537176,10
"The text covers various aspects of her physical and emotional well-being, including her medical diagnoses, daily",0,positive,0.6941778,0.124640726,0.18118148,10
"The text describes Mrs. Smith's, an 85-year-old resident, living in a nursing home with multiple chronic conditions.",2,negative,0.35152018,0.27580622,0.37267363,11
"Her primary respiratory issue is COPD, requiring continuous oxygen therapy.",0,positive,0.40730527,0.25618508,0.33650967,11
She also has congestive heart failure and rheumatoid,2,negative,0.15029804,0.10992413,0.73977786,11
The text describes Mrs. Smith's care at a nursing home.,2,negative,0.25904685,0.24175024,0.49920294,12
"She has multiple chronic conditions, including Alzheimer's disease, chronic kidney disease, and osteoporosis.",2,negative,0.28931993,0.15999673,0.5506833,12
"The care team uses a person-centered approach, focusing on her comfort and dignity.",0,positive,0.6713595,0.16129261,0.16734791,12
"Mrs Smith, an 82-year-old resident with Lewy body dementia, requires a specialized care environment within a long-term care facility.",0,positive,0.49824342,0.30446994,0.19728668,13
"Her condition presents unique challenges, including fluctuating cognitive abilities, visual hallucinations, and motor symptoms similar to",0,positive,0.569523,0.101983935,0.32849312,13
"The text describes the care provided to Mrs. Smith, a resident of a care home specializing in dementia care.",0,positive,0.65935856,0.18627565,0.1543658,14
"Mrs. Smith has Alzheimer's disease and is in the moderate stages of the disease, experiencing memory loss, confusion, and difficulty with language",2,negative,0.17264612,0.15736577,0.6699881,14
"The text describes Mrs. Smith's, an 89-year-old resident in a nursing home, comprehensive care plan.",0,positive,0.5406384,0.25764796,0.20171362,15
"She has multiple chronic conditions, including COPD, congestive heart failure, and rheumatoid arthritis.",2,negative,0.19019343,0.13392863,0.6758779,15
Her respiratory condition necessitates continuous,2,negative,0.3610814,0.24570343,0.3932152,15
"The text describes Mrs. Smith, an 87-year-old resident living in a long-term care facility.",0,positive,0.46718612,0.281181,0.25163287,16
"She has several health issues, including COPD, congestive heart failure, and rheumatoid arthritis.",2,negative,0.2945345,0.14189035,0.5635751,16
Her respiratory condition requires constant oxygen therapy,0,positive,0.5843056,0.2456962,0.16999824,16
"The text describes Mrs. Smith's, an 88-year-old, living in a nursing home due to multiple chronic conditions.",2,negative,0.34448403,0.27313185,0.38238415,17
"She has osteoporosis, COPD, and dementia.",2,negative,0.22269118,0.13313857,0.6441702,17
Her osteoporosis has led to fractures and requires mobility assistance.,2,negative,0.20431508,0.13607678,0.6596081,17
The,0,positive,0.5080673,0.22451265,0.26742002,17
"The text describes Mrs. Smith's, an 86-year-old resident, healthcare journey at a long-term care facility.",0,positive,0.55454826,0.22508776,0.22036397,18
"She has various health challenges, including COPD, heart failure, and osteoarthritis.",2,negative,0.28200716,0.12649538,0.59149754,18
The care team manages her medications,0,positive,0.63864946,0.21250787,0.14884263,18
"The text describes the care of Mrs. Smith, an 89-year-old woman living with Lewy body dementia in a long-term care facility.",2,negative,0.35104308,0.2427397,0.40621722,19
"Despite her condition, Mrs. Smith enjoys various activities, including art therapy, music listening",0,positive,0.6987855,0.22484156,0.07637292,19
"The text describes Mrs. Smith's, an 83-year-old, living in a long-term care facility due to advanced Alzheimer's disease and rheumatoid arthritis.",0,positive,0.3915676,0.25414315,0.35428923,20
"The text highlights her daily struggles with memory loss, confusion, and",2,negative,0.27723038,0.11910824,0.60366136,20
"Mrs. Smith, an 85-year-old resident in a specialized dementia care unit, requires full-time assistance with daily activities due to advanced Alzheimer's disease and osteoporosis.",0,positive,0.5728435,0.2637019,0.16345467,21
"Her care team provides a structured daily routine, therapeutic approaches,",0,positive,0.72027105,0.1863545,0.09337442,21
The text describes Mrs. Smith's comprehensive domiciliary care package and her management of various health conditions.,0,positive,0.58663356,0.20700751,0.20635895,22
"It highlights her rheumatoid arthritis, chronic kidney disease, hypertension, and her overall well-being.",0,positive,0.78138524,0.06539042,0.15322441,22
"The care team provides daily support with medication management,",0,positive,0.7584551,0.16618174,0.07536318,22
"The text describes Mrs. Smith's, an 88-year-old resident of a long-term care facility, comprehensive care plan.",0,positive,0.56793565,0.24235223,0.18971215,23
"Despite her diagnoses of advanced COPD, heart failure, and rheumatoid arthritis, Mrs. Smith maintains a positive",0,positive,0.8459314,0.08967126,0.06439729,23
"The text describes the care of Mrs. Smith, an 89-year-old woman living with Lewy body dementia in a specialized dementia care unit.",0,positive,0.41152334,0.23172122,0.35675538,24
"The condition presents unique challenges in managing her motor symptoms, visual hallucinations, and cognitive abilities.",0,positive,0.65854007,0.099744536,0.24171546,24
"The text describes Mrs. Smith's, an 85-year-old resident, living in a long-term care facility.",0,positive,0.44948626,0.2897759,0.26073787,25
She has advanced Alzheimer's disease and rheumatoid arthritis.,0,positive,0.46595246,0.16967063,0.36437693,25
Her Alzheimer's has progressed to the point where she,2,negative,0.26453596,0.16370536,0.5717586,25
The text describes Mrs. Smith's care at a long-term care facility.,0,positive,0.40758926,0.27557775,0.316833,26
"She has several health conditions, including COPD, heart failure, and rheumatoid arthritis.",2,negative,0.24747846,0.17656395,0.5759576,26
"The care team manages her medications, monitors her vital signs, and provides assistance with her",0,positive,0.80040574,0.12078735,0.078807,26
"The text describes the care of Mrs. Smith, an 89-year-old woman living in a specialized dementia care unit.",0,positive,0.42802182,0.24166216,0.330316,27
"She has Lewy body dementia, which presents unique challenges in her care.",0,positive,0.4697661,0.123714425,0.4065195,27
"Her symptoms include fluctuating cognitive abilities, visual",2,negative,0.31038392,0.16302137,0.5265947,27
"The text describes the care provided to Mrs. Smith, an 84-year-old resident with Alzheimer's disease and rheumatoid arthritis.",0,positive,0.54968643,0.20406531,0.24624822,28
"The text highlights her various challenges, including memory loss, confusion, chronic pain, and joint deformities.",2,negative,0.29555514,0.101927176,0.60251766,28
"The text describes Mrs. Smith's, an 84-year-old, living in a long-term care facility due to advanced Alzheimer's disease and rheumatoid arthritis.",0,positive,0.39208058,0.2551802,0.3527392,29
"The text highlights her condition, the care provided, and her overall",0,positive,0.6285625,0.1563133,0.21512417,29
"The text describes Mrs. Smith's comprehensive domiciliary care package, highlighting her physical and emotional well-being.",0,positive,0.7944895,0.087176055,0.11833442,30
