text,pred,label,positive,neutral,negative,doc_num
79-year-old suffers from Parkinson's disease and chronic heart failure.,2,negative,0.17247777,0.14688373,0.6806385,0
"she receives visits from carers four times a day, who assist her with daily tasks.",0,positive,0.70748687,0.19146009,0.101053044,0
she uses a walking frame for mobility around her home but often needs assistance.,0,positive,0.47538263,0.3668292,0.15778817,0
"dementia has progressed significantly, affecting her ability to communicate and recognize family members.",0,positive,0.513954,0.10249671,0.38354924,1
"she requires total assistance with all activities of daily living, including bathing, dressing, and eating.",0,positive,0.73962665,0.18829328,0.072080076,1
the care home provides a secure and supportive environment with specialized dementia care units.,0,positive,0.81121844,0.13894284,0.04983863,1
a care home resident has been receiving specialized care for her multiple health conditions.,0,positive,0.53550506,0.2514693,0.21302567,2
"she has osteoporosis, chronic obstructive pulmonary disease, and Alzheimer's disease.",2,negative,0.27645215,0.1444623,0.5790855,2
the care home staff provide daily physiotherapy and occupational therapy.,0,positive,0.6190045,0.22864395,0.1523516,2
a dementia care home in california provides dementia care for residents.,0,positive,0.6152606,0.15812911,0.22661026,3
the facility provides a secure environment with specialized dementia care units.,0,positive,0.68881357,0.20532282,0.105863586,3
the care home staff are trained in dementia care techniques.,0,positive,0.6141977,0.2193444,0.16645788,3
"rheumatoid arthritis, osteoporosis, and early-stage Alzheimer's disease are among her medical conditions.",2,negative,0.33980486,0.15915182,0.5010434,4
she uses a wheelchair for mobility and requires assistance with all activities of daily living.,0,positive,0.60638183,0.27236602,0.12125217,4
she has mild cognitive impairment due to early-stage Alzheimer's disease.,2,negative,0.11400608,0.10641447,0.77957946,4
82-year-old has a diagnosis of advanced chronic obstructive pulmonary disease.,0,positive,0.4039731,0.24711838,0.34890857,5
"she uses supplemental oxygen, particularly at night and during periods of exertion.",0,positive,0.5361219,0.28499722,0.17888092,5
"she also has osteoporosis, which has led to several fractures in the past.",2,negative,0.16408053,0.12468528,0.7112342,5
"rheumatoid arthritis, osteoporosis, and early-stage Alzheimer's disease are among her medical conditions.",2,negative,0.33980486,0.15915182,0.5010434,6
she uses a wheelchair for mobility and requires assistance with all activities of daily living.,0,positive,0.60638183,0.27236602,0.12125217,6
she has mild cognitive impairment due to early-stage Alzheimer's disease.,2,negative,0.11400608,0.10641447,0.77957946,6
"91-year-old has advanced chronic obstructive pulmonary disease (COPD) she has osteoporosis, which has led to several fractures in the past.",2,negative,0.2210558,0.14548592,0.63345826,7
she enjoys music and gardening.,0,positive,0.9260836,0.05656578,0.017350584,7
84-year-old has been living in a care home for six years due to her diagnosis of advanced dementia.,2,negative,0.32387447,0.25858453,0.41754103,8
she is unable to recognize family members and requires assistance with all activities of daily living.,1,neutral,0.1565861,0.47776526,0.36564872,8
the care home provides a secure environment with specialized dementia care units.,0,positive,0.7288753,0.186565,0.084559746,8
79-year-old has been residing in a nursing home for the past six years.,2,negative,0.32752782,0.31287563,0.35959652,9
she has advanced dementia and chronic heart failure.,2,negative,0.2944308,0.15577,0.54979914,9
her family is actively involved in her care and visits regularly.,0,positive,0.72228867,0.15373823,0.123973094,9
76-year-old resides in a residential care facility due to her multiple health conditions.,2,negative,0.3435524,0.27884904,0.3775985,10
"she is on a regimen of pain relief medications, including both opioids and NSAIDs.",2,negative,0.3720216,0.19157639,0.43640205,10
she is an avid reader and enjoys spending time in the facility's library.,0,positive,0.7510783,0.16499656,0.08392509,10
rheumatoid arthritis causes significant pain and limits her mobility.,2,negative,0.17885475,0.17013125,0.65101403,11
she is on a low-sodium diet and takes diuretics to manage fluid retention.,0,positive,0.5245222,0.25713122,0.21834658,11
the next review of her care plan is scheduled in two months.,0,positive,0.4556932,0.30812323,0.23618366,11
"91-year-old has advanced Alzheimer's, chronic kidney disease, and osteoporosis.",2,negative,0.35384074,0.17864402,0.46751523,12
"she relies on staff for feeding, bathing, dressing, and toileting.",0,positive,0.6191761,0.22885807,0.1519658,12
"the care team uses a person-centered approach, focusing on her comfort and dignity.",0,positive,0.67180604,0.16019265,0.16800131,12
82-year-old has been living in a specialized dementia care unit for four years.,0,positive,0.41259703,0.28453353,0.3028695,13
she has been diagnosed with Lewy body dementia.,2,negative,0.22652736,0.19659957,0.57687306,13
the care team provides a structured and supportive environment to manage her symptoms.,0,positive,0.79925776,0.1388173,0.061925013,13
79-year-old has been living at a care home specializing in dementia care for three years.,0,positive,0.47126222,0.26588306,0.26285473,14
she has been experiencing a gradual decline in cognitive function.,2,negative,0.25308114,0.20399632,0.54292256,14
the care team is conducting a review of her care plan and decided to introduce additional cognitive stimulation activities.,0,positive,0.68283707,0.18184692,0.13531601,14
89-year-old has a diagnosis of advanced chronic obstructive pulmonary disease.,0,positive,0.4148165,0.24743645,0.33774704,15
she uses a portable oxygen concentrator during the day and a larger machine at night.,0,positive,0.45097393,0.27609113,0.27293497,15
"she also has congestive heart failure, which necessitates careful management of her fluid intake.",2,negative,0.13404208,0.10579407,0.76016384,15
87-year-old has a diagnosis of advanced chronic obstructive pulmonary disease.,0,positive,0.41066632,0.24257414,0.34675953,16
she uses a portable oxygen concentrator during the day and a larger machine at night.,0,positive,0.45097393,0.27609113,0.27293497,16
she has congestive heart failure and is on a low-sodium diet.,2,negative,0.15234217,0.13423908,0.7134188,16
"88-year-old has osteoporosis, chronic obstructive pulmonary disease, and dementia.",2,negative,0.22224547,0.15399796,0.6237566,17
she uses a wheelchair for mobility and requires assistance with transfers and personal care.,0,positive,0.5983227,0.26571938,0.13595793,17
86-year-old has a diagnosis of advanced chronic obstructive pulmonary disease.,0,positive,0.41753268,0.24361068,0.3388567,18
she is on a regimen of medications to manage her symptoms.,0,positive,0.42698953,0.26369575,0.3093148,18
her osteoarthritis causes chronic pain and limits her mobility.,2,negative,0.22041021,0.2107627,0.5688271,18
89-year-old has been living in a specialized dementia care unit for five years.,0,positive,0.43337452,0.2815989,0.28502658,19
she has symptoms such as tremors and stiffness.,2,negative,0.15627533,0.14564605,0.6980787,19
the care team is considering introducing additional therapeutic interventions.,0,positive,0.58855575,0.21327883,0.19816542,19
83-year-old has been living in a long-term care facility for the past four years.,0,positive,0.36684453,0.31457403,0.31858146,20
she has a diagnosis of advanced Alzheimer's disease and rheumatoid arthritis.,0,positive,0.40241206,0.19708091,0.400507,20
the care team provides a structured daily routine and uses therapeutic approaches.,0,positive,0.6803419,0.22530723,0.09435086,20
specialized dementia care unit in a long-term care facility provides dementia care.,0,positive,0.68312997,0.20290427,0.11396575,21
specialized staff uses therapeutic approaches to help manage her symptoms.,0,positive,0.63732123,0.21106099,0.15161778,21
she is on a regimen of pain relief medications to manage her symptoms.,0,positive,0.42927104,0.2622614,0.3084675,21
"82-year-old has rheumatoid arthritis, chronic kidney disease, and hypertension.",2,negative,0.25209913,0.16011736,0.5877835,22
she visits her four times a day to provide support and medication management.,0,positive,0.67293465,0.1961099,0.13095541,22
care team monitors her weight and blood pressure regularly to detect changes in kidney function.,0,positive,0.44419077,0.23160192,0.32420728,22
88-year-old has a diagnosis of advanced chronic obstructive pulmonary disease.,0,positive,0.41437984,0.24535258,0.34026754,23
she is on a regimen of pain medications to control her symptoms.,0,positive,0.42765996,0.25827962,0.3140604,23
she is also on a regimen of diuretics and beta-blockers.,0,positive,0.43171614,0.23815134,0.3301325,23
89-year-old has been living in a specialized dementia care unit for five years.,0,positive,0.43337452,0.2815989,0.28502658,24
she has symptoms such as tremors and stiffness.,2,negative,0.15627533,0.14564605,0.6980787,24
the care team is considering introducing additional therapeutic interventions.,0,positive,0.58855575,0.21327883,0.19816542,24
a resident of a long-term care facility has been diagnosed with advanced Alzheimer's.,2,negative,0.26320156,0.2209227,0.51587576,25
she is on a regimen of pain relief medications and is on a balanced diet.,0,positive,0.40937293,0.29217815,0.29844892,25
the facility's dietitian works closely with the kitchen staff to prepare meals.,0,positive,0.6286946,0.21197581,0.15932955,25
rheumatoid arthritis causes significant pain and limits her mobility.,2,negative,0.17885472,0.17013124,0.6510141,26
she is on a regimen of pain medications and NSAIDs to control her symptoms.,0,positive,0.38924208,0.22568905,0.38506886,26
the care team is committed to providing a holistic and compassionate approach to care.,0,positive,0.8571768,0.05959837,0.08322488,26
