text,pred,label,positive,neutral,negative,doc_num
"Mrs Smith, 92, has been living in a long-term care facility for the past five years due to her advanced Alzheimer's disease and chronic obstructive pulmonary disease (COPD).",0,positive,0.37578315,0.27542958,0.34878728,0
"She is a retired professor who spent much of her life in academia, and despite her illness, remnants of her articulate and knowledgeable nature occasionally surface.",0,positive,0.3568219,0.31081003,0.33236808,0
"Mrs Smith's Alzheimer's disease has progressed significantly, and she now requires total assistance with all activities of daily living.",0,positive,0.51435125,0.2381399,0.24750882,0
She is non-verbal and communicates primarily through facial expressions and occasional gestures.,1,neutral,0.26102337,0.5996381,0.1393386,0
"Her understanding of verbal communication is limited, and she often appears disoriented, not recognizing familiar faces or surroundings.",1,neutral,0.05815236,0.5831822,0.3586655,0
"The care facility staff are trained in dementia care and employ a person-centered approach, focusing on Mrs Smith's comfort and emotional well-being.",0,positive,0.7170962,0.12613794,0.15676588,0
"They use techniques such as gentle touch and soothing music to calm her, especially during moments of agitation.",0,positive,0.40372238,0.19901696,0.39726064,0
"Mrs Smith's physical health is also a concern, as her COPD limits her respiratory function.",2,negative,0.20681708,0.15773252,0.63545036,0
She requires oxygen therapy and uses a nebulizer multiple times a day to manage her symptoms.,0,positive,0.4860589,0.26292533,0.25101584,0
"The care team monitors her oxygen levels regularly and is vigilant about preventing respiratory infections, to which she is particularly susceptible.",2,negative,0.24671209,0.18053392,0.572754,0
"Her diet is managed carefully due to her difficulty swallowing, a common issue in advanced dementia patients.",2,negative,0.3987653,0.1956835,0.40555117,0
"She is on a pureed diet with thickened fluids to prevent aspiration, and the staff ensure that she is hydrated and receives adequate nutrition.",0,positive,0.56691855,0.20731047,0.22577104,0
"Mrs Smith enjoys spending time in the facility's sensory room, where she can interact with various sensory stimuli that help to soothe and engage her.",0,positive,0.8732911,0.08734035,0.039368547,0
"She particularly enjoys the tactile elements, such as soft fabrics and textured objects, and the staff often notice a calming effect when she spends time there.",0,positive,0.87505764,0.07789431,0.04704809,0
"The facility organizes monthly family meetings, where Mrs Smith's family can discuss her care and any changes in her condition.",1,neutral,0.36664727,0.42102572,0.21232705,0
"Her family remains actively involved, visiting regularly and bringing familiar items from home to provide comfort and continuity.",0,positive,0.7949498,0.124295615,0.080754526,0
They have expressed appreciation for the facility's compassionate care and the efforts to maintain Mrs Smith's dignity and quality of life.,0,positive,0.8790212,0.045541104,0.07543765,0
"Recently, there have been discussions about introducing palliative care to ensure that Mrs Smith's remaining time is as comfortable as possible.",0,positive,0.53375053,0.25329465,0.2129548,0
The palliative care team is expected to work closely with the facility's staff to manage Mrs Smith's symptoms and provide emotional support to the family.,0,positive,0.70079523,0.15827005,0.14093469,0
"A comprehensive review of her care plan is scheduled for next month, with a focus on adjusting her care to align with the goals of comfort and dignity.",0,positive,0.50064504,0.20797235,0.2913826,0
"The facility aims to provide Mrs Smith with a peaceful and respectful environment, ensuring that her final years are spent with the highest quality of care possible.",0,positive,0.9189007,0.04058362,0.04051567,0
"Mrs Smith, 85, is a resident of a residential care home, where she has been living for the past four years.",1,neutral,0.34843567,0.37951928,0.27204508,1
"She has a history of stroke, which resulted in left-sided hemiplegia, leaving her with significant physical disabilities.",2,negative,0.1532533,0.12468402,0.72206265,1
"Additionally, Mrs Smith has a diagnosis of chronic kidney disease, requiring careful monitoring and management of her condition.",0,positive,0.42455822,0.24264264,0.33279917,1
She is on a regimen of medications to control her blood pressure and manage symptoms related to her kidney function.,0,positive,0.48197487,0.24125919,0.27676594,1
"Mrs Smith's stroke has left her wheelchair-bound, and she requires assistance with all transfers and personal care.",0,positive,0.44960293,0.28643376,0.26396328,1
"The care home staff are trained in manual handling techniques to safely assist her with these tasks, ensuring her comfort and safety.",0,positive,0.8246396,0.09721908,0.07814129,1
"She has a customized wheelchair that provides support and comfort, allowing her to participate in various activities offered by the facility.",0,positive,0.85045046,0.10537459,0.044174965,1
"Mrs Smith's cognitive function remains largely intact, and she is known for her sharp wit and sense of humor.",2,negative,0.38093153,0.15839577,0.46067265,1
"She enjoys reading, particularly historical fiction, and participates in the care home's book club.",0,positive,0.9249839,0.05466044,0.020355627,1
She also likes to stay informed about current events and often engages in discussions with staff and fellow residents about the news.,0,positive,0.65945095,0.19767964,0.14286941,1
"Socially, Mrs Smith is well-liked among the residents and staff.",0,positive,0.88628614,0.06244209,0.051271774,1
"She has made several friends at the care home and enjoys participating in social activities, such as trivia nights and film screenings.",0,positive,0.8917085,0.065260306,0.043031234,1
"Her family is actively involved in her life, visiting frequently and taking her on outings when possible.",0,positive,0.77078354,0.117490865,0.11172562,1
"They also participate in care planning meetings, ensuring that her preferences and needs are respected.",0,positive,0.8017925,0.093885414,0.10432208,1
"Nutrition is an important aspect of Mrs Smith's care, given her kidney disease.",0,positive,0.56154144,0.13760972,0.3008488,1
"She follows a renal-friendly diet, which the kitchen staff carefully prepare, ensuring that meals are low in sodium, potassium, and phosphorus.",0,positive,0.69447005,0.13371435,0.17181563,1
The care staff also monitor her fluid intake to prevent complications related to her kidney condition.,0,positive,0.47396955,0.25850296,0.26752755,1
"Recently, Mrs Smith's care team noticed some changes in her health, including increased fatigue and occasional swelling in her extremities.",2,negative,0.24555038,0.17899914,0.5754504,1
These symptoms prompted a review of her medication and treatment plan.,2,negative,0.192923,0.14887747,0.6581995,1
"The team is considering additional interventions to manage her kidney disease more effectively, potentially including adjustments to her medication or diet.",0,positive,0.4253024,0.21378411,0.3609135,1
"Mrs Smith is also receiving physiotherapy to maintain her upper body strength and mobility, which is crucial for her independence in daily activities.",0,positive,0.79383266,0.099874154,0.10629311,1
The physiotherapy sessions are tailored to her abilities and focus on exercises that can be performed while seated.,0,positive,0.6006185,0.1952437,0.20413782,1
The care home staff are committed to providing a supportive and stimulating environment for Mrs Smith.,0,positive,0.851107,0.096299194,0.05259374,1
"They regularly review her care plan to ensure it meets her evolving needs, with the next review scheduled in two months.",0,positive,0.62767476,0.1995701,0.17275512,1
"The team is dedicated to maintaining her quality of life, providing not only physical care but also emotional and social support.",0,positive,0.87600964,0.08233096,0.04165943,1
"Mrs Smith, 88, has been a resident of a long-term care facility for the past three years, primarily due to advanced Parkinson's disease and related complications.",2,negative,0.3354725,0.31493783,0.34958968,2
"Her condition has led to significant motor impairment, making her reliant on a wheelchair for mobility and requiring assistance with all daily activities, including eating, dressing, and bathing.",2,negative,0.26316243,0.14028119,0.59655637,2
"The nursing staff are well-versed in Parkinson's care and employ a range of techniques to manage her symptoms, such as medication timing and physiotherapy sessions aimed at maintaining flexibility and strength.",0,positive,0.5657245,0.11653859,0.3177369,2
"Mrs Smith also experiences non-motor symptoms such as depression and mild cognitive impairment, which the facility manages through a combination of medication and counseling.",0,positive,0.47350207,0.30973253,0.21676542,2
"She enjoys music therapy, particularly classical music, which has been shown to have a calming effect and improve her mood.",0,positive,0.87048805,0.078812465,0.050699454,2
"The care facility offers regular group activities, and Mrs Smith participates in those that accommodate her physical limitations, such as seated exercises and art sessions.",0,positive,0.59067756,0.28394815,0.12537429,2
Her family is very supportive and visits regularly.,0,positive,0.92864066,0.05814753,0.013211789,2
They are actively involved in her care planning and have provided the facility with items from home to personalize her living space.,0,positive,0.7070784,0.14116004,0.15176156,2
"Recently, Mrs Smith's condition has worsened, with increased difficulty swallowing and episodes of choking.",2,negative,0.07790607,0.09235419,0.82973975,2
"The care team has consulted with a speech and language therapist, who recommended a change to a pureed diet and thickened fluids to prevent aspiration.",0,positive,0.53300893,0.20585792,0.26113313,2
"Additionally, the facility has increased her physiotherapy sessions to address the increased rigidity in her muscles.",0,positive,0.565508,0.17276378,0.26172826,2
"A palliative care team has been introduced to ensure her comfort and manage pain, focusing on quality of life.",0,positive,0.7671506,0.11392908,0.118920356,2
The care team meets regularly with Mrs Smith's family to discuss her condition and care plan adjustments.,0,positive,0.4994064,0.23891678,0.26167685,2
"The next review is scheduled for two months, with an emphasis on reassessing her needs and ensuring all necessary support is in place.",0,positive,0.59131944,0.20360297,0.20507759,2
"Mrs Smith, 86, resides in a long-term care facility where she has been living for the past seven years.",0,positive,0.38584384,0.347346,0.2668101,3
"She has a complex medical history that includes advanced chronic obstructive pulmonary disease (COPD), congestive heart failure, and type 2 diabetes.",2,negative,0.3848802,0.15775564,0.45736417,3
"Mrs Smith's COPD requires continuous oxygen therapy, and she has a portable oxygen concentrator for use around the facility.",0,positive,0.4769976,0.28882593,0.23417646,3
The nursing staff are trained in respiratory care and provide regular monitoring of her oxygen levels and respiratory status.,0,positive,0.616222,0.22043791,0.16334009,3
"They also administer her medications, including bronchodilators and corticosteroids, to manage her symptoms and prevent exacerbations.",0,positive,0.59657955,0.189581,0.21383943,3
"In addition to her respiratory issues, Mrs Smith has congestive heart failure, which is managed with a combination of medications, including diuretics and ACE inhibitors.",2,negative,0.32322878,0.18734874,0.48942253,3
"The nursing staff closely monitor her fluid status and vital signs, adjusting her treatment plan as needed to manage symptoms such as fluid retention and shortness of breath.",0,positive,0.4730269,0.21975224,0.30722082,3
Mrs Smith's diabetes is managed with a combination of oral medications and insulin.,0,positive,0.5564104,0.23204386,0.21154575,3
"She follows a diabetic-friendly diet, and the facility's dietitian works with the kitchen staff to ensure her meals are nutritious and adhere to her dietary restrictions.",0,positive,0.5609493,0.21190906,0.2271417,3
The staff also assist her with blood sugar monitoring and insulin administration.,0,positive,0.7046137,0.17129396,0.12409239,3
"Despite her health challenges, Mrs Smith remains mentally sharp and enjoys a variety of activities.",0,positive,0.55682963,0.1502843,0.29288614,3
"She has a keen interest in history and often participates in the facility's history club, where she engages in discussions and shares her knowledge.",0,positive,0.9129465,0.05459554,0.03245798,3
"Mrs Smith also enjoys puzzles and crosswords, which she finds stimulating and enjoyable.",0,positive,0.95522743,0.035406344,0.009366239,3
She has formed close friendships with several other residents and enjoys socializing in the common areas and participating in group activities.,0,positive,0.9038089,0.060681384,0.035509743,3
